Worker,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
worker 1,2026-07-27 13:06:54.124,0.01,-0.04,0.99,0.18,-0.43,0.06
worker 1,2026-07-27 13:06:54.184,0.01,-0.04,0.99,0.18,-0.43,0.06
worker 1,2026-07-27 13:06:54.185,0.01,-0.04,0.99,0.49,-0.18,-0.06
worker 1,2026-07-27 13:06:54.243,0.01,-0.05,0.99,1.04,-0.43,-0.12
worker 1,2026-07-27 13:06:54.244,0.01,-0.05,0.99,1.04,-0.43,-0.12
worker 1,2026-07-27 13:06:54.304,0.01,-0.06,0.99,2.08,-0.67,-0.12
worker 1,2026-07-27 13:06:54.305,0.01,-0.06,0.99,2.08,-0.67,-0.12
worker 1,2026-07-27 13:06:54.305,0.02,-0.07,1.01,3.72,-1.34,0.79
worker 1,2026-07-27 13:06:54.364,0.02,-0.07,1.01,3.72,-1.34,0.79
worker 1,2026-07-27 13:06:54.365,0.05,-0.11,1.07,9.28,1.65,2.44
worker 1,2026-07-27 13:06:54.365,0.05,-0.09,1.03,34.91,20.26,9.22
worker 1,2026-07-27 13:06:54.434,0.05,-0.09,1.03,34.91,20.26,9.22
worker 1,2026-07-27 13:06:54.435,-0.17,0.43,0.83,72.88,42.24,33.45
worker 1,2026-07-27 13:06:54.485,-0.29,0.95,0.85,38.15,17.58,31.49
worker 1,2026-07-27 13:06:54.544,0.13,0.18,1.05,-90.21,-24.05,-56.46
worker 1,2026-07-27 13:06:54.545,0.13,0.18,1.05,-189.94,-14.22,-128.6
worker 1,2026-07-27 13:06:54.545,0.7,-1.35,0.98,-189.94,-14.22,-128.6
worker 1,2026-07-27 13:06:54.604,0.67,-1.5,0.65,-121.89,23.38,-30.64
worker 1,2026-07-27 13:06:54.664,-0.05,0.24,0.49,54.44,32.53,152.1
worker 1,2026-07-27 13:06:54.665,-0.05,0.24,0.49,54.44,32.53,152.1
worker 1,2026-07-27 13:06:54.665,-0.6,1.63,0.71,116.33,0.06,180.48
worker 1,2026-07-27 13:06:54.726,-0.6,1.63,0.71,116.33,0.06,180.48
worker 1,2026-07-27 13:06:54.784,0.51,-1.11,1.07,-112.37,-26.73,-131.84
worker 1,2026-07-27 13:06:54.785,0.51,-1.11,1.07,-112.37,-26.73,-131.84
worker 1,2026-07-27 13:06:54.844,0.51,-1.11,1.07,-112.37,-26.73,-131.84
worker 1,2026-07-27 13:06:54.845,-0.07,0.17,0.68,47.67,6.16,83.19
worker 1,2026-07-27 13:06:54.846,-0.07,0.17,0.68,47.67,6.16,83.19
worker 1,2026-07-27 13:06:54.913,-0.52,1.41,1.0,83.25,-24.54,112.85
worker 1,2026-07-27 13:06:54.913,-0.2,0.67,1.12,-4.21,-28.81,-24.78
worker 1,2026-07-27 13:06:54.914,-0.2,0.67,1.12,-4.21,-28.81,-24.78
worker 1,2026-07-27 13:06:54.965,0.38,-0.86,0.89,-81.36,-1.16,-142.64
worker 1,2026-07-27 13:06:54.966,0.38,-0.86,0.89,-81.36,-1.16,-142.64
worker 1,2026-07-27 13:06:55.026,0.51,-1.27,0.78,-48.83,9.58,-100.71
worker 1,2026-07-27 13:06:55.084,0.14,-0.33,0.97,44.43,-8.3,28.69
worker 1,2026-07-27 13:06:55.084,-0.22,0.54,1.07,74.1,-17.15,85.21
worker 1,2026-07-27 13:06:55.089,-0.22,0.54,1.07,74.1,-17.15,85.21
worker 1,2026-07-27 13:06:55.203,-0.17,0.44,1.03,12.27,-11.29,29.66
worker 1,2026-07-27 13:06:55.205,-0.17,0.44,1.03,12.27,-11.29,29.66
worker 1,2026-07-27 13:06:55.205,0.11,-0.16,0.97,-55.6,-9.16,-43.03
worker 1,2026-07-27 13:06:55.206,0.11,-0.16,0.97,-55.6,-9.16,-43.03
worker 1,2026-07-27 13:06:55.206,0.22,-0.51,0.93,-67.63,-11.84,-52.61
worker 1,2026-07-27 13:06:55.264,0.13,-0.4,0.93,-34.79,-16.17,-12.39
worker 1,2026-07-27 13:06:55.265,0.03,-0.17,0.95,-5.86,-18.92,18.68
worker 1,2026-07-27 13:06:55.325,-0.01,-0.13,0.91,-4.58,-19.47,15.81
worker 1,2026-07-27 13:06:55.326,-0.01,-0.13,0.91,-4.58,-19.47,15.81
worker 1,2026-07-27 13:06:55.384,0.02,-0.3,0.88,-19.53,-25.39,-0.12
worker 1,2026-07-27 13:06:55.385,0.02,-0.3,0.88,-19.53,-25.39,-0.12
worker 1,2026-07-27 13:06:55.386,0.14,-0.48,0.94,-35.52,-40.53,-2.01
worker 1,2026-07-27 13:06:55.444,0.14,-0.48,0.94,-35.52,-40.53,-2.01
worker 1,2026-07-27 13:06:55.445,0.27,-0.44,1.02,-35.03,-44.13,16.17
worker 1,2026-07-27 13:06:55.505,0.23,-0.18,1.06,-6.71,-22.09,38.88
worker 1,2026-07-27 13:06:55.506,0.13,-0.04,1.12,17.4,9.77,40.22
worker 1,2026-07-27 13:06:55.564,0.13,-0.04,1.12,17.4,9.77,40.22
worker 1,2026-07-27 13:06:55.565,0.07,-0.14,1.06,1.65,36.56,21.36
worker 1,2026-07-27 13:06:55.624,0.0,-0.28,0.85,-23.93,53.28,5.37
worker 1,2026-07-27 13:06:55.626,0.0,-0.28,0.85,-23.93,53.28,5.37
worker 1,2026-07-27 13:06:55.626,-0.06,-0.29,0.75,-19.84,46.94,-1.59
worker 1,2026-07-27 13:06:55.684,-0.02,-0.32,0.83,-4.82,23.01,-11.78
worker 1,2026-07-27 13:06:55.685,-0.02,-0.32,0.83,-4.82,23.01,-11.78
worker 1,2026-07-27 13:06:55.745,0.0,-0.42,1.01,10.44,6.71,-19.96
worker 1,2026-07-27 13:06:55.746,-0.09,-0.24,1.21,66.35,-8.42,-2.93
worker 1,2026-07-27 13:06:55.804,-0.09,-0.24,1.21,66.35,-8.42,-2.93
worker 1,2026-07-27 13:06:55.805,-0.09,0.06,1.29,132.32,-36.68,5.0
worker 1,2026-07-27 13:06:55.805,-0.09,0.06,1.29,139.83,-56.88,-30.15
worker 1,2026-07-27 13:06:55.864,0.11,0.03,1.17,139.83,-56.88,-30.15
worker 1,2026-07-27 13:06:55.864,0.27,-0.04,0.93,130.13,-48.65,-60.91
worker 1,2026-07-27 13:06:55.924,0.27,-0.04,0.93,130.13,-48.65,-60.91
worker 1,2026-07-27 13:06:55.924,0.28,0.13,0.87,153.38,-32.47,-56.03
worker 1,2026-07-27 13:06:55.925,0.28,0.13,0.87,153.38,-32.47,-56.03
worker 1,2026-07-27 13:06:55.989,0.21,0.36,0.93,170.35,-16.78,-45.35
worker 1,2026-07-27 13:06:55.989,0.21,0.36,0.93,133.67,-0.31,-55.11
worker 1,2026-07-27 13:06:55.990,0.11,0.54,0.85,133.67,-0.31,-55.11
worker 1,2026-07-27 13:06:56.045,0.11,0.58,0.85,64.15,-15.26,-84.96
worker 1,2026-07-27 13:06:56.110,0.23,0.48,0.83,5.62,-51.51,-120.36
worker 1,2026-07-27 13:06:56.111,0.23,0.48,0.83,5.62,-51.51,-120.36
worker 1,2026-07-27 13:06:56.111,0.32,0.43,0.71,-29.97,-70.8,-142.94
worker 1,2026-07-27 13:06:56.164,0.31,0.35,0.78,-54.63,-78.06,-172.85
worker 1,2026-07-27 13:06:56.165,0.31,0.35,0.78,-54.63,-78.06,-172.85
worker 1,2026-07-27 13:06:56.224,0.23,0.14,1.02,-77.21,-54.93,-199.22
worker 1,2026-07-27 13:06:56.234,0.23,0.14,1.02,-77.21,-54.93,-199.22
worker 1,2026-07-27 13:06:56.235,0.07,-0.05,1.08,-86.06,16.36,-159.12
worker 1,2026-07-27 13:06:56.284,0.07,-0.05,1.08,-86.06,16.36,-159.12
worker 1,2026-07-27 13:06:56.287,-0.07,-0.11,0.97,-77.21,96.44,-56.82
worker 1,2026-07-27 13:06:56.343,-0.15,-0.09,0.98,-102.97,133.67,3.6
worker 1,2026-07-27 13:06:56.344,-0.15,-0.09,0.98,-102.97,133.67,3.6
worker 1,2026-07-27 13:06:56.344,-0.3,-0.02,1.05,-146.91,95.83,-47.73
worker 1,2026-07-27 13:06:56.406,-0.3,-0.02,1.05,-146.91,95.83,-47.73
worker 1,2026-07-27 13:06:56.406,-0.44,0.05,1.04,-127.81,23.62,-123.41
worker 1,2026-07-27 13:06:56.407,-0.44,0.05,1.04,-127.81,23.62,-123.41
worker 1,2026-07-27 13:06:56.464,-0.42,0.05,1.0,-81.24,-10.93,-132.93
worker 1,2026-07-27 13:06:56.464,-0.27,0.01,0.93,-52.19,-10.01,-99.73
worker 1,2026-07-27 13:06:56.525,-0.27,0.01,0.93,-52.19,-10.01,-99.73
worker 1,2026-07-27 13:06:56.525,-0.1,-0.02,0.83,-28.02,-4.7,-74.58
worker 1,2026-07-27 13:06:56.526,-0.1,-0.02,0.83,-28.02,-4.7,-74.58
worker 1,2026-07-27 13:06:56.584,-0.01,-0.08,0.81,-25.82,3.78,-71.41
worker 1,2026-07-27 13:06:56.585,0.02,-0.21,0.94,-48.1,22.46,-65.67
worker 1,2026-07-27 13:06:56.644,0.02,-0.21,0.94,-43.09,46.63,-45.17
worker 1,2026-07-27 13:06:56.644,0.01,-0.32,1.02,-43.09,46.63,-45.17
worker 1,2026-07-27 13:06:56.704,-0.07,-0.3,0.95,-16.91,59.02,-34.42
worker 1,2026-07-27 13:06:56.704,-0.17,-0.28,0.88,-29.97,52.86,-38.39
worker 1,2026-07-27 13:06:56.765,-0.17,-0.28,0.88,-29.97,52.86,-38.39
